Year,CroppingSyst_code,Crop_code,Act_Transp_mm,Baseflow,CropSyst_Pot_Transp_mm,Crop_Canopy_E_mm,ET_mm,PPT,Runoff,Soil_E_mm,VIC_PET_shortgrass_mm,Yield_kg_m2,irrig_evap_mm,irrig_netdemand_mm,irrig_runoff_mm,irrig_total_mm,water_stress_index
2001,4004,1827,542.0535885739181,1.9808934299999996,551.7686488999999,0,735.4095632700004,56.70000000000001,9.225765948,105.08507548168127,762.2813710000003,1.261926,88.27089499999997,625.2521879999997,22.0677239,735.5908099999999,0.0
2002,4004,1827,537.6338376947481,1.0178988889999998,549.1518293,0,705.2317262137226,49.99999999999999,8.008906715,85.58311718902677,808.0481740000005,1.217783,82.014774,580.9379510000001,20.503693700000003,683.4564499999999,0.0
2003,4004,1827,560.6707587969594,0.6671196949999997,565.2672469199999,0,749.1671331550002,52.574999999999996,10.2736471749,101.092178019381,805.9712390000004,1.247409,87.40420299999998,619.1130900000003,21.85105070000001,728.36835,0.0
2004,4004,1827,511.2539230694295,12.814562939999991,516.95837434,0,682.0741133000001,123.29999999999998,23.288707849000005,99.40530254990743,726.1374569999997,1.167546,71.41488199999999,505.8554000000001,17.85372,595.12401,0.0
2005,4004,1827,564.447187938,2.0545677799999997,571.03913978,0,756.6499630399996,73.55,12.790131801999998,104.11925944232054,775.8140550000003,1.2760209999999998,88.08351900000001,623.9249099999998,22.020879699999995,734.0293399999997,0.0
2006,4004,1827,545.1262035263692,9.354333429999997,551.1368257899999,0,716.3493706473422,66.62499999999999,12.859060304,90.140184919444,771.8806390000004,1.2209999999999999,81.08299000000002,574.3378600000001,20.2707476,675.69159,0.0
2007,4004,1827,578.6239419952044,1.9983682999999999,586.0744423700005,0,736.1725068500002,54.075,9.583823838,75.08879058319914,809.8869650000001,1.332771,82.45977600000002,584.0900800000002,20.614943800000002,687.1647699999999,0.0
2008,4004,1827,514.1546582227594,1.009154026,528.3965430300001,0,680.2977410428117,63.55,10.153022295999998,86.4139663632463,780.980885,1.20376,79.729129,564.7479699999999,19.932281500000002,664.40937,0.0
2009,4004,1827,548.9540937604849,0.6565975989999998,554.5720488200003,0,719.0490536139569,76.025,14.196782614,88.98826244493705,775.4719380000005,1.220377,81.10670400000001,574.50581,20.276676099999992,675.8892000000001,0.0
2010,4004,1827,474.29962256473925,0.48819768400000013,484.16200909999986,0,687.8495084300001,169.14999999999995,30.912385082,143.17317062599997,694.4175530000001,1.103258,70.376718,498.50171,17.594178799999995,586.4726200000001,0.0
2011,4004,1827,447.1001124942472,10.10658271,452.4014182299999,0,645.2423806455499,125.14999999999998,26.47565732600001,131.63346886191994,695.985283,1.033613,66.508787,471.10389000000004,16.6271967,554.23991,0.0
2012,4004,1827,510.70359452099217,2.0991552099999997,525.7076038999999,0,701.3910734999998,115.25000000000001,20.108801380000003,112.7058605173438,733.6436950000001,1.178117,77.981616,552.36979,19.49540379999999,649.84678,0.0
2013,4004,1827,549.6017134375412,1.02624456,557.3004040600001,0,712.9976199083098,107.64999999999999,17.7887538526,89.02841763921491,780.3131810000002,1.211187,74.367479,526.7696399999999,18.591870600000004,619.7289999999999,0.0
2014,4004,1827,557.7787865174504,0.6674626360000001,565.5848814299999,0,768.1778406000001,83.72500000000001,13.379030394,120.60712274077395,792.39297,1.226623,89.79193410000003,636.0261859999999,22.447983400000002,748.266131,0.0
2015,4004,1827,593.9146766517063,0.490122782,603.3756837599996,0,772.7930842500002,52.57500000000001,9.29878444,88.22869745679819,856.266159,1.2573159999999999,90.64972300000002,642.1021799999999,22.662430199999996,755.4143499999998,0.0
