Year,CroppingSyst_code,Act_Transp_mm,Baseflow,CropSyst_Pot_Transp_mm,Crop_Canopy_E_mm,Crop_code,ET_mm,PPT,Runoff,Soil_E_mm,VIC_PET_shortgrass_mm,Yield_kg_m2,irrig_evap_mm,irrig_netdemand_mm,irrig_runoff_mm,irrig_total_mm,water_stress_index
1989,4004,553.7750125349997,1.4962511712583001e-06,565.1545916399998,0,279531,860.6094829299999,241.22500000000008,41.127760006,226.18656848109993,1065.3725160899994,1.339854,80.64788999999999,571.2558899999999,20.161973099999997,672.0657899999999,0.0
1990,4004,556.9649676567124,0.0015829883972200002,565.1056547899998,0,279531,894.89163375,177.37499999999997,28.634465442499987,246.38328891101494,1146.5024911000005,1.273196,91.54339299999998,648.4323460000003,22.885847800000008,762.8616039999998,0.0
1991,4004,468.40179759295046,0.049651594719999984,476.3778446699999,0,279531,782.3132215700001,247.24999999999997,41.344628598,238.94289923708908,1042.9890615999996,1.0933950000000001,74.96853,531.0270700000001,18.7421318,624.73773,0.0
1992,4004,553.4340729485612,0.29920764389999993,565.8208856900001,0,281358,855.7812535319998,212.04999999999998,37.479060996,218.8544704965193,1062.1066395289997,1.2647329999999999,83.492706,591.4066599999999,20.8731762,695.7725499999999,0.0
1993,4004,519.3404143324168,72.84775439808207,522.4557360400003,0,279531,795.8156065700003,245.82500000000007,30.504839302000008,198.51129876166712,979.3532236700003,1.293959,77.96389299999998,552.24425,19.4909728,649.6990799999999,0.0
1994,4004,579.0880157999999,1.1965470149999986e-10,585.6161857899999,0,279531,883.3692179199998,255.17499999999995,37.163166488999984,221.17076438358893,1103.1871075299994,1.345811,83.110437,588.69894,20.777609499999997,692.58698,0.0
1995,4004,504.8449856437563,1.1965470149999986e-10,511.30751099000025,0,279531,835.1336554920005,320.89999999999986,48.51399481399999,259.97916313909815,1035.3119305900004,1.193526,70.30951000000003,498.02567,17.577377300000002,585.91258,0.0
1996,4004,475.9036402334629,31.62776560010594,485.63597722000014,0,281358,834.1187896201931,350.4000000000002,50.17880782600001,281.2702963827217,1028.0488541400002,1.112407,76.94485699999998,545.026075,19.236214299999997,641.20716,0.0
1997,4004,558.821790875007,1.1965470149999986e-10,561.8775422399999,0,279531,871.2002757910009,241.75000000000014,41.92823396751799,230.65210737041605,1080.0642334699987,1.321409,81.72637900000001,578.8951500000002,20.431593999999993,681.0531600000002,0.0
1998,4004,544.9383153647592,1.1965470149999986e-10,553.2075014599999,0,279531,869.2508553599996,277.87500000000006,48.079323645999985,243.56856480431327,1087.695864550001,1.215274,80.74398,571.93652,20.185995399999992,672.8665299999999,0.0
1999,4004,503.0932687294045,1.1965470149999986e-10,512.36846784,0,279531,826.7423264541496,173.72499999999994,31.382667395,241.37593018137662,1161.2461921,1.1829180000000001,82.273124,582.76797,20.568280700000003,685.60934,0.01626962
2000,4004,567.4244086645449,0.03297213661012952,579.9419538200001,0,281358,893.9590107900004,300.5,56.155859684999996,246.241694972153,1055.4049422800001,1.335137,80.29291600000002,568.7414900000001,20.073229499999997,669.1076500000001,0.0
2001,4004,542.0535885739181,3.961833641000002,551.7686488999999,0,279531,879.6025472099998,210.49999999999997,37.457557213999976,249.27805942168118,1073.5055420799997,1.261926,88.27089499999997,625.2521879999997,22.0677239,735.5908099999999,0.0
2002,4004,537.6338376947481,2.4655403010000008,549.1518293,0,279531,812.1744317537226,171.87500000000006,29.847767875000006,192.52582272902677,1155.01384454,1.217783,82.014774,580.9379510000001,20.503693700000003,683.4564499999999,0.0
2003,4004,560.6707587969594,2.100783483,565.2672469199999,0,279531,888.1234286350008,269.1750000000003,54.677159267900024,240.0484734993809,1122.0439473000022,1.247409,87.40420299999998,619.1130900000003,21.85105070000001,728.36835,0.0
2004,4004,511.2539230694295,24.70356140000001,516.95837434,0,281358,799.2597901599996,277.7750000000001,54.953716417000024,216.59097940990728,1025.6626768999995,1.167546,71.41488199999999,505.8554000000001,17.85372,595.12401,0.0
2005,4004,564.447187938,5.196666189999998,571.03913978,0,279531,872.8982295000003,231.57500000000005,41.735747735000004,220.36752590232032,1103.4476257000003,1.2760209999999998,88.08351900000001,623.9249099999998,22.020879699999995,734.0293399999997,0.0
2006,4004,545.1262035263692,14.025530081999998,551.1368257899999,0,279531,874.2307104273422,291.3000000000001,61.619572253999976,248.02152469944411,1081.3486641999998,1.2209999999999999,81.08299000000002,574.3378600000001,20.2707476,675.69159,0.0
2007,4004,578.6239419952044,5.024516273999999,586.0744423700005,0,279531,883.3629572100002,237.7,44.04133224999998,222.27924094319906,1122.5479839400002,1.332771,82.45977600000002,584.0900800000002,20.614943800000002,687.1647699999999,0.0
2008,4004,514.1546582227594,2.433762409999999,528.3965430300001,0,281358,804.5748031728118,234.50000000000009,38.426324109,210.69102849324634,1099.7623277400003,1.20376,79.729129,564.7479699999999,19.932281500000002,664.40937,0.0
2009,4004,548.9540937604849,1.5760958650000003,554.5720488200003,0,279531,892.5707383539565,291.4750000000002,56.223886457000006,262.5099471849367,1090.0757773500015,1.220377,81.10670400000001,574.50581,20.276676099999992,675.8892000000001,0.0
2010,4004,474.29962256473925,1.1755768669999997,484.16200909999986,0,279531,850.0039356700001,426.04999999999995,78.81361745,305.32759786600025,992.8330423600003,1.103258,70.376718,498.50171,17.594178799999995,586.4726200000001,0.0
2011,4004,447.1001124942472,26.421632341999995,452.4014182299999,0,279531,800.65928142155,298.69999999999993,65.342917555,287.05036963792014,1008.4626695839999,1.033613,66.508787,471.10389000000004,16.6271967,554.23991,0.0
2012,4004,510.70359452099217,5.276273716000004,525.7076038999999,0,281358,895.0968586699998,363.57499999999993,66.299111177,306.4116456873439,1065.3898135400013,1.178117,77.981616,552.36979,19.49540379999999,649.84678,0.0
2013,4004,549.6017134375412,2.485845574,557.3004040600001,0,279531,833.78475795831,241.27500000000003,41.4037181536,209.8155556892149,1080.6013498000013,1.211187,74.367479,526.7696399999999,18.591870600000004,619.7289999999999,0.0
2014,4004,557.7787865174504,1.6025041110000005,565.5848814299999,0,279531,928.4719172500002,316.4749999999999,51.99101876379998,280.9011993907738,1131.9314615899993,1.226623,89.79193410000003,636.0261859999999,22.447983400000002,748.266131,0.0
2015,4004,593.9146766517063,1.1731514160000003,603.3756837599996,0,279531,924.3189924300002,267.7000000000002,52.33960711700001,239.75460563679806,1166.6798053999996,1.2573159999999999,90.64972300000002,642.1021799999999,22.662430199999996,755.4143499999998,0.0
